id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62742,2026-04,48670,109010,84848401502,482934,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62743,2026-04,52920,109010,84848504104,4182,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62744,2026-04,52940,109010,84848504302,4182,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62745,2026-04,52960,109010,84848504906,4182,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62746,2026-04,52970,109010,84848504500,4182,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62747,2026-04,55620,109010,84848501103,482939,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62748,2026-04,55640,109010,84848501301,482939,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62749,2026-04,55660,109010,84848501905,482939,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62750,2026-04,55670,109010,84848501509,482939,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62751,2026-04,55740,109010,84848501301,482939,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
